OBJECTID,CF,CASE_NUM,SOURCE,ADOPTDATE,COMMENTS,CPA_1,CPA_2,BICYCLE_N,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
9035,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,37.3870913795514
9036,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,413.541249630399
9037,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,333.499308451337
9038,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,178.387546569957
9039,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,133.733990028897
9040,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,118.147435086189
9041,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,271.131625852553
9042,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,1,,,,,190.179979216787
9043,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,266.913504820537
9044,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,149.741120076413
9045,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,145.714310325139
9046,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,97.8438444718802
9047,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,374.856223391233
9048,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,2,,,,,8.69640637913558
9049,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,Updated as per Lena,NLA,,1,,,,,113.101578301798
9050,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,WCH,,1,,,,,8.45766737722174
9051,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,WCH,,1,,,,,49.153419813436
9052,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,WCH,PLM,1,,,,,76.5570285801911
9053,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,PLM,WCH,1,,,,,20.0944571613515
9054,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,PLM,WCH,1,,,,,54.2777996785073
9055,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,CCY,,3,,,,,234.405071903261
9056,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,119.872021805001
9057,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,108.443610979035
9058,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,149.416667621812
9059,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,125.600400423142
9060,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,92.231606491421
9061,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,119.909119504867
9062,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,85.9079659349827
9063,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,117.235042563519
9064,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,123.089017563362
9065,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,44.0039376965431
9066,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,108.469309419611
